"Region","LRI_formatted_CC","LRI_formatted_RC","LRI_formatted_CRC","LRM_formatted_CC","LRM_formatted_RC","LRM_formatted_CRC","ISOcode"
"France","5.68(5.62-5.75)","2.65(2.61-2.70)","8.58(8.50-8.66)","2.98(2.93-3.03)","1.06(1.03-1.09)","4.13(4.07-4.19)",250
"French Guiana","2.78(1.56-3.99)","0.72(0.20-1.23)","3.61(2.28-4.94)","1.86(0.66-3.06)","0.66(0.06-1.26)","2.52(1.18-3.86)",254
"French Polynesia","2.16(0.95-3.38)","1.86(0.68-3.04)","4.10(2.40-5.79)","0.78(0.32-1.25)","0.86(0.29-1.43)","1.73(0.97-2.49)",258
"Djibouti","0.54(0.29-0.78)","0.36(0.20-0.53)","0.90(0.60-1.20)","0.43(0.21-0.64)","0.31(0.15-0.48)","0.74(0.47-1.01)",262
"Gabon","0.43(0.31-0.56)","0.22(0.11-0.33)","0.75(0.58-0.93)","0.30(0.19-0.42)","0.11(0.04-0.17)","0.46(0.33-0.60)",266
"Georgia","1.69(1.54-1.85)","1.72(1.56-1.88)","3.50(3.27-3.73)","1.10(0.96-1.23)","1.10(0.96-1.23)","2.24(2.05-2.43)",268
"Gambia","0.07(0.03-0.12)","0.27(0.12-0.42)","0.34(0.19-0.50)","0.06(0.02-0.10)","0.24(0.10-0.39)","0.30(0.15-0.45)",270
"Palestinian Territories","2.61(2.19-3.02)","1.21(0.93-1.49)","3.83(3.33-4.33)","1.91(1.52-2.30)","0.84(0.58-1.10)","2.76(2.29-3.23)",275
"Germany","4.68(4.63-4.73)","2.46(2.43-2.50)","7.39(7.33-7.45)","2.19(2.15-2.22)","1.08(1.05-1.10)","3.35(3.31-3.39)",276
"Ghana","0.33(0.28-0.38)","0.30(0.26-0.34)","0.76(0.68-0.83)","0.25(0.20-0.29)","0.24(0.20-0.28)","0.58(0.51-0.64)",288
"Greece","5.97(5.82-6.13)","0.98(0.92-1.04)","7.09(6.92-7.25)","3.25(3.14-3.37)","0.45(0.41-0.49)","3.74(3.62-3.87)",300
"Guadeloupe","3.65(2.94-4.35)","1.37(0.97-1.76)","5.07(4.25-5.88)","2.54(1.89-3.19)","0.67(0.36-0.99)","3.24(2.52-3.97)",312
"Guam","3.94(1.81-6.07)","1.10(0.43-1.77)","5.03(2.79-7.27)","3.49(1.38-5.60)","0.54(0.05-1.03)","4.03(1.86-6.20)",316
"Guatemala","1.98(1.79-2.16)","0.17(0.12-0.23)","2.16(1.96-2.35)","1.23(1.08-1.37)","0.11(0.07-0.16)","1.34(1.19-1.50)",320
"Guinea","0.14(0.10-0.18)","0.19(0.13-0.24)","0.39(0.31-0.47)","0.11(0.07-0.16)","0.15(0.10-0.20)","0.32(0.24-0.40)",324
"Guyana","2.78(1.83-3.74)","0.44(0.08-0.80)","3.24(2.22-4.26)","1.69(0.94-2.43)","0.38(0.02-0.73)","2.06(1.24-2.89)",328
"Haiti","3.94(3.57-4.32)","0.39(0.29-0.48)","4.70(4.30-5.10)","2.88(2.56-3.20)","0.13(0.10-0.17)","3.24(2.91-3.58)",332
"Honduras","1.47(1.22-1.72)","0.60(0.45-0.76)","2.16(1.87-2.45)","1.29(1.03-1.55)","0.25(0.15-0.34)","1.59(1.31-1.87)",340
"Hungary","6.16(5.99-6.33)","3.23(3.12-3.35)","9.42(9.21-9.63)","3.72(3.58-3.86)","1.81(1.72-1.91)","5.56(5.39-5.73)",348
"Iceland","6.04(4.96-7.11)","1.96(1.37-2.54)","8.04(6.80-9.27)","3.55(2.68-4.42)","0.44(0.13-0.75)","3.99(3.06-4.91)",352
