"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
642,"colon","Poisson","both",0.0407325634184049,4.073256,2.54092492618627e-07,0.000504075879822301,0.050408,0.0397445746939532,0.0417205521428566,3.974457,4.172055,18,"Success",0.0264068805604192,2.640688,1.82322488998023e-07,0.000426992375807839,0.042699,0.0255699755038358,0.0272437856170026,2.556998,2.724379,18,"Success"
152,"colon","Poisson","both",0.0406203163253848,4.062032,4.88075717157356e-07,0.000698624160158634,0.069862,0.0392510129714739,0.0419896196792957,3.925101,4.198962,18,"Success",0.0231902251593433,2.319023,3.05792258493867e-07,0.000552984862807172,0.055298,0.0221063748282413,0.0242740754904454,2.210637,2.427408,18,"Success"
630,"colon","Poisson","both",0.0402114039127636,4.02114,1.58044243224294e-06,0.00125715648677598,0.125716,0.0377473771986827,0.0426754306268445,3.774738,4.267543,18,"Success",0.0253581593191708,2.535816,1.1035304811636e-06,0.00105049059070684,0.105049,0.0232991977613854,0.0274171208769562,2.32992,2.741712,18,"Success"
780,"colon","Poisson","both",0.0397467214481834,3.974672,1.2539485844789e-05,0.00354111364471532,0.354111,0.0328061387045414,0.0466873041918255,3.280614,4.66873,18,"Success",0.0305502988129447,3.05503,1.02002848566982e-05,0.00319378848026888,0.319379,0.0242904733916177,0.0368101242342717,2.429047,3.681012,18,"Success"
332,"colon","Poisson","both",0.0394495977063684,3.94496,3.58411536825705e-06,0.00189317600033833,0.189318,0.0357389727457053,0.0431602226670316,3.573897,4.316022,18,"Success",0.0287527028062416,2.87527,2.66898905764077e-06,0.00163370409121137,0.16337,0.0255506427874673,0.0319547628250159,2.555064,3.195476,18,"Success"
316,"colon","Poisson","both",0.0393909803121252,3.939098,0.000118424698013653,0.0108823112441086,1.088231,0.0180616502736723,0.0607203103505782,1.806165,6.072031,18,"Success",0.0348916533653698,3.489165,0.000115786186655833,0.0107603990007729,1.07604,0.013801271323855,0.0559820354068846,1.380127,5.598204,18,"Success"
905,"colon","Poisson","both",0.0390480899867817,3.904809,1.75293755159131e-08,0.000132398548012858,0.01324,0.0387885888326765,0.0393075911408869,3.878859,3.930759,18,"Success",0.0186391236508554,1.863912,1.03791556850335e-08,0.000101878141350505,0.010188,0.0184394424938084,0.0188388048079024,1.843944,1.88388,18,"Success"
840,"colon","Poisson","both",0.0375213482800319,3.752135,1.86373555455233e-08,0.00013651870035099,0.013652,0.037253771627344,0.0377889249327198,3.725377,3.778892,18,"Success",0.0165657721123412,1.656577,9.96816728051036e-09,9.98407095352911e-05,0.009984,0.016370084321652,0.0167614599030303,1.637008,1.676146,18,"Success"
498,"colon","Poisson","both",0.036667489233263,3.666749,1.70208352459354e-06,0.00130463923158609,0.130464,0.0341103963393542,0.0392245821271717,3.41104,3.922458,18,"Success",0.0241969443565789,2.419694,1.28896522273734e-06,0.00113532604248178,0.113533,0.0219717053133146,0.0264221833998432,2.197171,2.642218,18,"Success"
608,"colon","Poisson","both",0.0366362456427483,3.663625,2.49344895095777e-07,0.000499344465370126,0.049934,0.0356575304906229,0.0376149607948738,3.565753,3.761496,18,"Success",0.027061612511568,2.706161,2.3381441301238e-07,0.000483543599908405,0.048354,0.0261138670557475,0.0280093579673885,2.611387,2.800936,18,"Success"
312,"colon","Poisson","both",0.036453960884436,3.645396,1.29332707294359e-05,0.00359628568518074,0.359629,0.0294052409414817,0.0435026808273902,2.940524,4.350268,18,"Success",0.0253833638636822,2.538336,1.09212596876133e-05,0.00330473292228182,0.330473,0.0189060873360099,0.0318606403913546,1.890609,3.186064,18,"Success"
638,"colon","Poisson","both",0.0358346298321035,3.583463,1.0283301898715e-05,0.00320675878399281,0.320676,0.0295493826154776,0.0421198770487294,2.954938,4.211988,18,"Success",0.0300338472139011,3.003385,1.08656099634127e-05,0.0032963024684353,0.32963,0.0235730943757679,0.0364946000520343,2.357309,3.64946,18,"Success"
