"ISOcode","AgeStart","AgeEnd","Ri"
384,20,24,12
384,25,29,39
384,30,34,39
384,35,39,52
384,40,44,79
384,45,49,100
384,50,54,127
384,55,59,148
384,60,64,155
384,65,69,120
384,70,74,86
384,75,79,54
384,80,84,31
384,85,999,12
388,0,4,0
388,5,9,0
388,10,14,0
388,15,19,1
388,20,24,2
388,25,29,10
388,30,34,8
388,35,39,13
388,40,44,21
388,45,49,34
388,50,54,59
388,55,59,85
388,60,64,98
388,65,69,104
388,70,74,104
388,75,79,96
388,80,84,76
388,85,999,82
392,0,4,0
392,5,9,0
392,10,14,5
392,15,19,12
392,20,24,72
392,25,29,273
392,30,34,29
392,35,39,316
392,40,44,1151
392,45,49,3052
392,50,54,5758
392,55,59,8403
392,60,64,12070
392,65,69,17438
392,70,74,24030
392,75,79,24734
392,80,84,20656
392,85,999,27757
398,0,4,0
398,5,9,0
398,10,14,0
398,15,19,0
398,20,24,4
398,25,29,17
398,30,34,47
398,35,39,23
398,40,44,58
398,45,49,137
398,50,54,238
398,55,59,467
398,60,64,671
398,65,69,714
398,70,74,516
398,75,79,284
398,80,84,228
398,85,999,110
400,0,4,0
400,5,9,0
400,10,14,0
400,15,19,2
400,20,24,12
400,25,29,9
400,30,34,27
400,35,39,60
400,40,44,98
400,45,49,137
400,50,54,174
400,55,59,184
400,60,64,165
400,65,69,131
400,70,74,107
400,75,79,85
400,80,84,53
400,85,999,30
404,0,4,0
404,5,9,0
404,10,14,2
404,15,19,13
404,20,24,30
404,25,29,72
404,30,34,77
404,35,39,92
404,40,44,173
404,45,49,265
404,50,54,360
404,55,59,456
404,60,64,506
404,65,69,430
404,70,74,252
404,75,79,170
404,80,84,109
404,85,999,84
408,0,4,0
408,5,9,0
408,10,14,0
408,15,19,2
408,20,24,8
408,25,29,54
408,30,34,17
408,35,39,53
408,40,44,137
408,45,49,337
408,50,54,723
408,55,59,923
408,60,64,1216
408,65,69,1071
408,70,74,921
408,75,79,953
408,80,84,555
408,85,999,258
410,0,4,0
410,5,9,0
410,10,14,2
410,15,19,4
410,20,24,29
410,25,29,89
410,30,34,113
410,35,39,304
410,40,44,689
410,45,49,1288
410,50,54,2146
410,55,59,3108
410,60,64,4147
410,65,69,4403
410,70,74,4017
410,75,79,3650
410,80,84,2975
410,85,999,2596
414,0,4,0
414,5,9,0
414,10,14,0
414,15,19,0
414,20,24,1
414,25,29,3
414,30,34,5
414,35,39,9
414,40,44,24
414,45,49,44
414,50,54,63
414,55,59,75
414,60,64,78
414,65,69,66
414,70,74,34
414,75,79,19
414,80,84,11
414,85,999,4
417,0,4,0
417,5,9,0
417,10,14,0
417,15,19,1
417,20,24,2
417,25,29,6
417,30,34,11
417,35,39,8
417,40,44,11
417,45,49,19
417,50,54,27
417,55,59,48
417,60,64,76
417,65,69,86
417,70,74,64
417,75,79,31
417,80,84,23
417,85,999,24
418,0,4,0
418,5,9,0
418,10,14,1
418,15,19,3
418,20,24,6
418,25,29,16
418,30,34,18
418,35,39,28
418,40,44,43
418,45,49,63
418,50,54,81
418,55,59,101
418,60,64,111
418,65,69,105
418,70,74,83
418,75,79,60
418,80,84,39
418,85,999,23
422,0,4,0
422,5,9,0
422,10,14,1
422,15,19,0
422,20,24,3
422,25,29,7
422,30,34,9
422,35,39,30
422,40,44,54
422,45,49,80
422,50,54,101
422,55,59,120
422,60,64,128
422,65,69,135
422,70,74,121
422,75,79,86
422,80,84,65
422,85,999,65
426,0,4,0
426,5,9,0
426,10,14,0
426,15,19,0
426,20,24,1
426,25,29,1
426,30,34,2
426,35,39,2
426,40,44,6
426,45,49,8
426,50,54,11
426,55,59,10
426,60,64,11
426,65,69,12
426,70,74,12
426,75,79,11
426,80,84,6
426,85,999,4
428,0,4,0
428,5,9,0
428,10,14,0
428,15,19,0
428,20,24,0
