ISOcode,AgeStart,AgeEnd,Ri,Di,Ni,Mi
120,65,69,29,22,445091.5,11938
120,70,74,24,21,411387,15801
120,75,79,16,15,300017,17382
120,80,84,9,9,184590.5,17868
120,85,999,5,4,139942,28546
124,0,4,0,0,4463439,37381
124,5,9,0,0,4443035,4894
124,10,14,3,0,4386553.5,3929
124,15,19,2,0,4478440,7328
124,20,24,6,1,4494784,11422
124,25,29,13,3,4395183.5,11946
124,30,34,15,4,4188612.5,12444
124,35,39,33,5,4177082.5,14996
124,40,44,75,8,3790574.5,17766
124,45,49,134,16,3421905,22487
124,50,54,238,31,3061456.5,29150
124,55,59,392,55,2627923.5,37152
124,60,64,519,82,2130857,45847
124,65,69,539,91,1619429,54274
124,70,74,493,96,1060285.5,56477
124,75,79,395,83,581212.5,50240
124,80,84,271,94,295070.5,41424
124,85,999,286,172,140943.5,34313
132,0,4,0,0,2148639.5,22977
132,5,9,0,0,2097257,7274
132,10,14,0,0,1880328.5,3889
132,15,19,0,0,1449047,4014
132,20,24,0,0,1062521,4036
132,25,29,0,0,906202.5,3737
132,30,34,0,0,875798,4020
132,35,39,1,0,798490,4246
132,40,44,2,1,629365,4191
132,45,49,2,2,427470.5,3479
132,50,54,3,1,309086.5,3470
132,55,59,1,1,225130,3347
132,60,64,4,0,180619.5,4014
132,65,69,3,1,145699,4976
132,70,74,2,0,95690.5,5069
132,75,79,0,1,52864,4455
132,80,84,1,1,25967.5,3483
132,85,999,0,1,10921.5,2527
140,0,4,0,0,428276,200
140,5,9,0,0,584710.5,56
140,10,14,1,0,542781,75
140,15,19,1,1,445863,160
140,20,24,2,2,438140,217
140,25,29,1,1,513354.5,393
140,30,34,1,1,706954.5,1012
140,35,39,1,1,759693,1692
140,40,44,3,2,677044,2472
140,45,49,6,4,633590,3565
140,50,54,5,3,610268,5199
140,55,59,3,2,635283,7896
140,60,64,5,4,683073,12233
140,65,69,4,3,543876.5,12895
140,70,74,2,2,419267.5,13514
140,75,79,1,1,205530.5,11539
140,80,84,1,1,201919.5,18242
140,85,999,0,0,143612.5,30145
144,0,4,0,0,1824962.5,8742
144,5,9,0,0,1736583.5,2276
144,10,14,4,0,1677138.5,1565
144,15,19,4,0,1573309.5,2449
144,20,24,11,6,1364832.5,3028
144,25,29,5,2,1378132.5,3299
144,30,34,9,3,1425897.5,3702
144,35,39,39,16,1326247.5,3884
144,40,44,98,43,1130119,4309
144,45,49,166,76,750291,3647
144,50,54,243,116,768368.5,5628
144,55,59,325,163,687603,6756
144,60,64,384,196,566222.5,8671
144,65,69,393,195,413077,10132
144,70,74,370,173,284714.5,11465
144,75,79,267,117,164604,11019
144,80,84,137,55,86712,9662
144,85,999,101,37,42908,8541
148,0,4,0,0,4344471,65644
148,5,9,0,0,3856846.5,6261
148,10,14,9,9,3420529,3997
148,15,19,23,16,2954957,5192
148,20,24,11,8,2474170.5,6246
148,25,29,0,0,2160326.5,6584
148,30,34,0,0,1907685,7190
148,35,39,0,0,1600946,7890
148,40,44,11,8,1299383.5,8501
148,45,49,42,29,1020701,8953
148,50,54,0,0,793300,9659
148,55,59,0,0,588866.5,9840
148,60,64,10,8,447048,11019
148,65,69,18,14,323131.5,12178
148,70,74,16,13,211457,12815
148,75,79,9,8,132292.5,12623
148,80,84,6,5,66051.5,9749
148,85,999,0,0,30608.5,7687
152,0,4,0,0,1888613.5,1774
152,5,9,0,0,2037981,148
152,10,14,8,0,2109299,198
152,15,19,0,0,2091685.5,665
152,20,24,4,0,2463508,1270
152,25,29,0,0,2686883.5,1838
152,30,34,4,1,2761665.5,2478
152,35,39,7,1,2706776,3336
152,40,44,4,2,2574501.5,4007
152,45,49,18,4,2415115,5350
152,50,54,31,9,2439833.5,8574
152,55,59,42,14,2652412.5,16689
152,60,64,43,19,2639948,25453
152,65,69,42,19,2309029.5,26099
152,70,74,38,18,1880176,34679
152,75,79,33,18,1378423,39973
152,80,84,31,17,879633,44757
152,85,999,44,29,905775,120436
156,0,4,0,0,42610.5,85
156,5,9,0,0,49201,8
156,10,14,127,15,49426,6
156,15,19,42,4,46653.5,13
156,20,24,84,15,41599,30
156,25,29,212,32,46415.5,37
156,30,34,607,138,47548.5,46
156,35,39,691,196,41218,87
156,40,44,1038,347,33112.5,81
156,45,49,1960,685,25978,105
156,50,54,4139,1822,23181,127
156,55,59,4800,2050,22065,165
156,60,64,4343,2026,17839.5,166
156,65,69,5794,3183,12314,197
156,70,74,5352,3030,8949.5,284
156,75,79,3521,2610,5471.5,324
156,80,84,2484,2211,3655,372
156,85,999,2014,2467,2503,468
170,0,4,0,0,4028.5,1
170,5,9,0,0,3738.5,0
170,10,14,6,1,3942,1
170,15,19,4,0,3480,2
170,20,24,6,1,3725.5,4
170,25,29,9,3,5378,6
170,30,34,21,3,6619.5,9
170,35,39,26,8,6989,12
170,40,44,30,11,6864,16
170,45,49,46,14,6520,22
170,50,54,67,22,6003.5,28
170,55,59,90,37,4970,32
170,60,64,105,45,3507,32
170,65,69,113,45,2343,29
170,70,74,101,49,1501,29
170,75,79,87,51,951.5,29
170,80,84,79,52,537,30
170,85,999,100,71,493.5,63
174,0,4,0,0,934537,94165
174,5,9,0,0,825701,21163
174,10,14,0,0,748774,10606
174,15,19,0,0,634278,18985
174,20,24,0,0,508670,27770
174,25,29,0,0,361793,20703
174,30,34,0,0,251725.5,12917
174,35,39,0,0,179207.5,9371
174,40,44,0,0,137131,7804
174,45,49,0,0,113226,7384
174,50,54,1,0,113989,8453
174,55,59,1,1,99306,9074
174,60,64,1,1,80415,9745
174,65,69,1,1,56530.5,9502
174,70,74,1,0,31260,6955
174,75,79,1,0,14300.5,3364
174,80,84,1,0,5666,2067
174,85,999,0,0,1529.5,1008
178,0,4,0,0,1647731,2135
178,5,9,0,0,1734772,216
178,10,14,0,0,1798820,250
178,15,19,0,0,1794252.5,474
178,20,24,0,0,1667941.5,726
178,25,29,0,0,1652090.5,869
178,30,34,0,0,1565618.5,1074
178,35,39,1,0,1576177.5,1638
178,40,44,2,0,1649818.5,2898
178,45,49,3,0,1411731.5,4055
178,50,54,3,0,1336928,6215
178,55,59,2,2,1251499,9186
178,60,64,4,4,1148409.5,13547
178,65,69,3,3,959325.5,18436
178,70,74,2,0,758972,24050
178,75,79,0,0,478297.5,24545
178,80,84,0,0,245556,21370
178,85,999,0,0,157024,27328
180,0,4,0,0,3431648,79610
180,5,9,0,0,2887361,19742
180,10,14,15,11,2429494,9100
180,15,19,9,4,2002058,8900
180,20,24,11,5,1637422.5,9711
180,25,29,9,4,1343176.5,8745
180,30,34,11,5,1081071.5,7728
180,35,39,22,10,863343.5,6986
180,40,44,38,19,708539,6766
180,45,49,44,24,610168.5,6774
180,50,54,48,29,472997.5,6772
180,55,59,48,32,354498,6708
180,60,64,50,37,254186.5,6986
180,65,69,57,45,173264,7194
180,70,74,60,55,108121.5,6980
180,75,79,53,51,57942,5811
180,80,84,33,33,27811.5,4320
180,85,999,18,18,12212,3143
188,0,4,0,0,1021264.5,1035
188,5,9,0,0,1217629,171
188,10,14,0,0,1233248,187
188,15,19,0,0,1211543,505
188,20,24,0,1,1395580,1022
188,25,29,1,0,1589137.5,1329
188,30,34,2,0,1634354.5,1767
188,35,39,2,3,1497425.5,1953
188,40,44,3,2,1376981.5,2611
188,45,49,4,1,1310065.5,3622
188,50,54,7,1,1260079,5387
188,55,59,11,3,1170277,7975
188,60,64,15,3,1034882,10732
188,65,69,16,6,863341.5,12873
188,70,74,14,7,675289.5,15225
188,75,79,12,5,451383,17767
188,80,84,10,3,296178,20873
188,85,999,10,7,314377.5,43047
191,0,4,0,0,65606014,72370
191,5,9,0,0,90500949,22654
191,10,14,0,0,87909429,23674
191,15,19,0,0,80171426.5,27038
191,20,24,0,0,80852780.5,44220
191,25,29,0,0,89704202,64666
191,30,34,0,0,118128097,99605
191,35,39,2,1,109430574.5,107419
191,40,44,6,3,95819838.5,141324
191,45,49,13,7,104901929.5,242408
191,50,54,22,11,122960963.5,488952
191,55,59,36,18,113599176.5,673844
191,60,64,48,20,69176933,734215
191,65,69,52,22,75962979.5,1274663
191,70,74,42,19,54531187.5,1461124
191,75,79,28,14,31736600.5,1416101
191,80,84,23,14,19798118.5,1607203
191,85,999,21,12,14388369.5,2497251
192,0,4,0,0,828589,626
192,5,9,0,0,1054657.5,91
192,10,14,0,0,971455.5,102
192,15,19,0,0,1072779,335
192,20,24,0,0,1316829.5,552
192,25,29,0,0,1541209,633
192,30,34,4,0,1595501.5,1047
192,35,39,18,0,1741671,1894
192,40,44,33,7,2007254,4158
192,45,49,73,20,1811413,6537
192,50,54,131,45,1802712.5,9761
192,55,59,172,65,1833221,12472
192,60,64,154,57,1735722,14528
192,65,69,131,51,1507935.5,17073
192,70,74,118,50,1090085.5,19764
