"ISOcode","AgeStart","AgeEnd","Di"
356,35,39,4120
356,40,44,6197
356,45,49,8210
356,50,54,10397
356,55,59,11801
356,60,64,11801
356,65,69,10092
356,70,74,6785
356,75,79,3792
356,80,84,1932
356,85,999,1004
360,0,4,0
360,5,9,0
360,10,14,17
360,15,19,4
360,20,24,13
360,25,29,11
360,30,34,10
360,35,39,68
360,40,44,136
360,45,49,220
360,50,54,300
360,55,59,367
360,60,64,450
360,65,69,483
360,70,74,496
360,75,79,454
360,80,84,321
360,85,999,196
364,0,4,0
364,5,9,0
364,10,14,2
364,15,19,2
364,20,24,2
364,25,29,4
364,30,34,8
364,35,39,17
364,40,44,22
364,45,49,24
364,50,54,27
364,55,59,28
364,60,64,42
364,65,69,50
364,70,74,48
364,75,79,46
364,80,84,57
364,85,999,68
368,0,4,0
368,5,9,0
368,10,14,0
368,15,19,1
368,20,24,0
368,25,29,8
368,30,34,2
368,35,39,12
368,40,44,11
368,45,49,8
368,50,54,18
368,55,59,23
368,60,64,23
368,65,69,23
368,70,74,17
368,75,79,11
368,80,84,8
368,85,999,6
372,0,4,0
372,5,9,0
372,10,14,0
372,15,19,0
372,20,24,0
372,25,29,0
372,30,34,0
372,35,39,0
372,40,44,3
372,45,49,4
372,50,54,6
372,55,59,10
372,60,64,12
372,65,69,14
372,70,74,15
372,75,79,13
372,80,84,10
372,85,999,11
376,0,4,0
376,5,9,0
376,10,14,0
376,15,19,0
376,20,24,0
376,25,29,0
376,30,34,1
376,35,39,0
376,40,44,0
376,45,49,1
376,50,54,1
376,55,59,4
376,60,64,8
376,65,69,9
376,70,74,9
376,75,79,8
376,80,84,8
376,85,999,18
380,0,4,0
380,5,9,0
380,10,14,0
380,15,19,0
380,20,24,0
380,25,29,1
380,30,34,3
380,35,39,8
380,40,44,21
380,45,49,50
380,50,54,87
380,55,59,130
380,60,64,144
380,65,69,172
380,70,74,239
380,75,79,264
380,80,84,311
380,85,999,411
384,0,4,0
384,5,9,0
384,10,14,4
384,15,19,0
384,20,24,2
384,25,29,4
384,30,34,2
384,35,39,12
384,40,44,16
384,45,49,17
384,50,54,14
384,55,59,12
384,60,64,10
384,65,69,10
384,70,74,11
384,75,79,10
384,80,84,7
384,85,999,3
388,0,4,0
388,5,9,0
388,10,14,0
388,15,19,0
388,20,24,0
388,25,29,0
388,30,34,0
388,35,39,0
388,40,44,0
388,45,49,0
388,50,54,1
388,55,59,0
388,60,64,1
388,65,69,2
388,70,74,3
388,75,79,3
388,80,84,1
388,85,999,4
392,0,4,0
392,5,9,0
392,10,14,0
392,15,19,0
392,20,24,3
392,25,29,7
392,30,34,10
392,35,39,22
392,40,44,27
392,45,49,56
392,50,54,66
392,55,59,96
392,60,64,153
392,65,69,233
392,70,74,370
392,75,79,500
392,80,84,689
392,85,999,1614
398,0,4,0
398,5,9,0
398,10,14,0
398,15,19,0
398,20,24,0
398,25,29,1
398,30,34,5
398,35,39,5
398,40,44,12
398,45,49,22
398,50,54,34
398,55,59,54
398,60,64,62
398,65,69,51
398,70,74,29
398,75,79,15
398,80,84,15
398,85,999,11
400,0,4,0
400,5,9,0
400,10,14,0
400,15,19,0
400,20,24,0
400,25,29,0
400,30,34,2
400,35,39,3
400,40,44,2
400,45,49,4
400,50,54,6
400,55,59,7
400,60,64,6
400,65,69,5
400,70,74,5
400,75,79,4
400,80,84,2
400,85,999,2
404,0,4,0
404,5,9,0
404,10,14,4
404,15,19,0
404,20,24,3
404,25,29,3
404,30,34,6
404,35,39,14
404,40,44,24
404,45,49,28
404,50,54,45
404,55,59,51
404,60,64,97
404,65,69,45
404,70,74,51
404,75,79,24
404,80,84,27
404,85,999,16
408,0,4,0
408,5,9,0
408,10,14,0
408,15,19,0
408,20,24,0
408,25,29,0
408,30,34,0
408,35,39,1
408,40,44,6
408,45,49,9
408,50,54,24
408,55,59,22
408,60,64,22
408,65,69,14
408,70,74,17
408,75,79,23
408,80,84,24
408,85,999,13
410,0,4,0
410,5,9,0
410,10,14,0
410,15,19,0
410,20,24,1
410,25,29,2
410,30,34,3
410,35,39,8
410,40,44,13
410,45,49,17
410,50,54,36
410,55,59,52
410,60,64,63
410,65,69,61
410,70,74,62
410,75,79,73
410,80,84,88
410,85,999,100
414,0,4,0
414,5,9,0
414,10,14,0
414,15,19,0
414,20,24,0
414,25,29,0
414,30,34,1
414,35,39,0
414,40,44,1
414,45,49,3
414,50,54,4
414,55,59,4
414,60,64,6
414,65,69,2
414,70,74,3
414,75,79,1
414,80,84,1
414,85,999,0
417,0,4,0
417,5,9,0
417,10,14,0
417,15,19,0
417,20,24,0
417,25,29,0
417,30,34,1
417,35,39,1
417,40,44,2
417,45,49,4
417,50,54,6
417,55,59,9
417,60,64,13
417,65,69,10
417,70,74,9
417,75,79,4
417,80,84,4
417,85,999,7
418,0,4,0
418,5,9,0
418,10,14,0
418,15,19,0
418,20,24,0
418,25,29,2
418,30,34,2
418,35,39,6
418,40,44,8
418,45,49,9
418,50,54,11
418,55,59,12
418,60,64,12
418,65,69,12
418,70,74,13
418,75,79,14
418,80,84,12
418,85,999,9
422,0,4,0
422,5,9,0
422,10,14,0
422,15,19,0
422,20,24,0
422,25,29,0
422,30,34,0
422,35,39,1
422,40,44,2
422,45,49,3
422,50,54,3
422,55,59,6
422,60,64,4
422,65,69,5
422,70,74,5
422,75,79,5
422,80,84,3
422,85,999,4
426,0,4,0
426,5,9,0
426,10,14,0
426,15,19,0
426,20,24,0
426,25,29,0
426,30,34,1
426,35,39,0
426,40,44,1
426,45,49,2
426,50,54,2
426,55,59,3
426,60,64,4
426,65,69,4
426,70,74,2
426,75,79,2
426,80,84,0
426,85,999,1
428,0,4,0
428,5,9,0
428,10,14,0
428,15,19,0
428,20,24,0
428,25,29,0
428,30,34,0
428,35,39,1
428,40,44,2
428,45,49,6
428,50,54,9
428,55,59,14
428,60,64,17
428,65,69,15
428,70,74,13
428,75,79,9
428,80,84,8
428,85,999,5
430,0,4,0
430,5,9,0
430,10,14,0
