"LocationId","AgeStart","AgeEnd","Value"
233,40,44,90879.5
233,45,49,91537.5
233,50,54,83465
233,55,59,88219
233,60,64,85415.5
233,65,69,77403
233,70,74,60401
233,75,79,50156
233,80,84,41529
233,85,999,34621
234,0,4,3576.5
234,5,9,3469
234,10,14,3658
234,15,19,3629.5
234,20,24,2989.5
234,25,29,3107
234,30,34,3052
234,35,39,2982.5
234,40,44,3164
234,45,49,3259
234,50,54,3508
234,55,59,3179
234,60,64,2966
234,65,69,2730
234,70,74,2340.5
234,75,79,1800
234,80,84,1100.5
234,85,999,1170
238,0,4,219
238,5,9,232.5
238,10,14,221.5
238,15,19,197
238,20,24,197
238,25,29,239
238,30,34,264
238,35,39,299.5
238,40,44,330
238,45,49,344.5
238,50,54,315.5
238,55,59,283.5
238,60,64,178.5
238,65,69,108.5
238,70,74,89.5
238,75,79,89.5
238,80,84,65.5
238,85,999,35.5
242,0,4,92293.5
242,5,9,91100.5
242,10,14,87005.5
242,15,19,78015.5
242,20,24,75633.5
242,25,29,76016.5
242,30,34,72556.5
242,35,39,69875
242,40,44,58299.5
242,45,49,47772
242,50,54,45723
242,55,59,41817
242,60,64,33283.5
242,65,69,21197
242,70,74,13972.5
242,75,79,8161.5
242,80,84,4018.5
242,85,999,1723.5
246,0,4,261828
246,5,9,307658.5
246,10,14,307181
246,15,19,296415
246,20,24,317153
246,25,29,355262
246,30,34,350562.5
246,35,39,358274.5
246,40,44,344441.5
246,45,49,314977.5
246,50,54,360147
246,55,59,368513.5
246,60,64,361083
246,65,69,359595
246,70,74,340211
246,75,79,210723.5
246,80,84,158248
246,85,999,149262
250,0,4,3541430.5
250,5,9,3896919
250,10,14,3961495
250,15,19,3912698
250,20,24,3584404.5
250,25,29,3575456.5
250,30,34,3876174.5
250,35,39,4083457
250,40,44,3982859.5
250,45,49,4381546.5
250,50,54,4224246.5
250,55,59,4135515.5
250,60,64,3928052
250,65,69,3805941
250,70,74,3301682
250,75,79,2148309
250,80,84,1835812.5
250,85,999,2223759
254,0,4,34591
254,5,9,29115
254,10,14,28950
254,15,19,27604
254,20,24,23597
254,25,29,18634
254,30,34,18318.5
254,35,39,18327
254,40,44,17721.5
254,45,49,16858
254,50,54,14251
254,55,59,11653.5
254,60,64,9202.5
254,65,69,6691.5
254,70,74,4177.5
254,75,79,2349.5
254,80,84,1269
254,85,999,762
258,0,4,20882.5
258,5,9,23084
258,10,14,23471
258,15,19,23301.5
258,20,24,21165.5
258,25,29,23280
258,30,34,24461
258,35,39,23132
258,40,44,19453.5
258,45,49,20145.5
258,50,54,19804
258,55,59,17522
258,60,64,13561
258,65,69,9581
258,70,74,7232.5
258,75,79,5092.5
258,80,84,2890.5
258,85,999,1657.5
262,0,4,115251.5
262,5,9,111843.5
262,10,14,113034.5
262,15,19,112447
262,20,24,99185.5
262,25,29,91537
262,30,34,81181.5
262,35,39,73619.5
262,40,44,67096.5
262,45,49,56815
262,50,54,44819
262,55,59,34259
262,60,64,25596
262,65,69,19073.5
262,70,74,14196
262,75,79,8263.5
262,80,84,4002.5
262,85,999,1773
266,0,4,304611.5
266,5,9,280760.5
266,10,14,235422.5
266,15,19,204735.5
266,20,24,191073
266,25,29,192115
266,30,34,181537.5
266,35,39,157118.5
266,40,44,126636.5
266,45,49,99331.5
266,50,54,77017.5
266,55,59,59696.5
266,60,64,45273
266,65,69,33979.5
266,70,74,23743
266,75,79,15260
266,80,84,8873
266,85,999,5601
268,0,4,278785
268,5,9,271174
268,10,14,231072
268,15,19,208529
268,20,24,224407.5
268,25,29,270483
268,30,34,283119.5
268,35,39,259470
268,40,44,244175
268,45,49,236165.5
268,50,54,234591.5
268,55,59,259664.5
268,60,64,226431
268,65,69,186147.5
268,70,74,124958.5
268,75,79,98854
268,80,84,85318
268,85,999,47465
270,0,4,406669
270,5,9,377288.5
270,10,14,327705.5
270,15,19,271882.5
270,20,24,225232
270,25,29,188054.5
270,30,34,156489.5
270,35,39,130752
270,40,44,109327
270,45,49,90587
270,50,54,72700
270,55,59,54167
270,60,64,36105
270,65,69,22975.5
270,70,74,17687
270,75,79,11831.5
270,80,84,6168.5
270,85,999,3261.5
275,0,4,712821
275,5,9,659778
275,10,14,579603
275,15,19,514446.5
275,20,24,468161
275,25,29,429536.5
275,30,34,345855.5
275,35,39,272968
275,40,44,218673
275,45,49,178739.5
275,50,54,150363
275,55,59,122106
275,60,64,91449.5
275,65,69,66368.5
275,70,74,45677.5
275,75,79,29501
275,80,84,16147.5
275,85,999,7579.5
276,0,4,3950928.5
276,5,9,3700201
276,10,14,3689436.5
276,15,19,3982624.5
276,20,24,4605210
276,25,29,5118908
276,30,34,5437092.5
276,35,39,5268553
276,40,44,4872245.5
276,45,49,5408283.5
276,50,54,6790915.5
