"ISOcode","AgeStart","AgeEnd","Ni","Mi"
132,10,"14",23814,3
132,15,"19",22303,3
132,20,"24",19327.5,7
132,25,"29",22236,8
132,30,"34",22976,17
132,35,"39",19798.5,30
132,40,"44",15443.5,22
132,45,"49",12319.5,22
132,50,"54",11385,29
132,55,"59",11276.5,41
132,60,"64",9458.5,62
132,65,"69",7005.5,84
132,70,"74",5372,134
132,75,"79",3532,175
132,80,"84",2514.5,229
132,85,"89",1385,211
132,90,"94",389,93
132,95,"99",58,20
132,100,"null",4,2
136,0,"4",1995.5,1
136,5,"9",1868,0
136,10,"14",1921,0
136,15,"19",1749.5,1
136,20,"24",1826,1
136,25,"29",2691.5,2
136,30,"34",3268,3
136,35,"39",3443,5
136,40,"44",3380.5,6
136,45,"49",3148,8
136,50,"54",2980.5,11
136,55,"59",2430.5,13
136,60,"64",1795.5,13
136,65,"69",1262,12
136,70,"74",774,10
136,75,"79",484,10
136,80,"84",292,12
136,85,"89",198,16
136,90,"94",89,14
136,95,"99",23.5,6
136,100,"null",2,1
140,0,"4",463612.5,45582
140,5,"9",408756,10955
140,10,"14",372039.5,4434
140,15,"19",318273.5,3688
140,20,"24",264063.5,3941
140,25,"29",193252.5,3549
140,30,"34",140457.5,2859
140,35,"39",102961,2496
140,40,"44",77977.5,2502
140,45,"49",64768.5,2695
140,50,"54",67396,3405
140,55,"59",59677.5,3903
140,60,"64",47163,4484
140,65,"69",31860,4539
140,70,"74",17208,3414
140,75,"79",7944.5,1638
140,80,"84",3321,1088
140,85,"89",935.5,554
140,90,"94",108,104
140,95,"99",1,1
140,100,"null",0,0
144,0,"4",806794.5,936
144,5,"9",849831,79
144,10,"14",887724.5,97
144,15,"19",887272,170
144,20,"24",822982.5,248
144,25,"29",825821,311
144,30,"34",806158,371
144,35,"39",818492,528
144,40,"44",851204,867
144,45,"49",730345.5,1193
144,50,"54",695054.5,1850
144,55,"59",662828,2821
144,60,"64",621101,4430
144,65,"69",532706.5,6683
144,70,"74",436970,9937
144,75,"79",288129,11760
144,80,"84",153350.5,11481
144,85,"89",75878.5,10018
144,90,"94",25267,5548
144,95,"99",4288,1475
144,100,"null",365,181
148,0,"4",1691214,36415
148,5,"9",1424308,9462
148,10,"14",1197127.5,4201
148,15,"19",987554,4006
148,20,"24",811449,3941
148,25,"29",668669,3776
148,30,"34",541322,3507
148,35,"39",435009.5,3228
148,40,"44",358915,3074
148,45,"49",310442,2961
148,50,"54",243125.5,2976
148,55,"59",185010,3051
148,60,"64",134512,3300
148,65,"69",93180,3556
148,70,"74",59118.5,3552
148,75,"79",32194.5,3026
148,80,"84",15956,2343
148,85,"89",5839,1267
148,90,"94",1376.5,443
148,95,"99",227.5,97
148,100,"null",28.5,15
152,0,"4",500849.5,455
152,5,"9",597719.5,84
152,10,"14",604590.5,96
152,15,"19",594122.5,176
152,20,"24",688472,277
152,25,"29",785139.5,371
